,Unnamed: 0,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,vac_0,vac_1,vac_2,vac_3,vac_4,vac_5,vac_6,vac_7,vac_8,vac_ID
0,0,Afghanistan,AFG,EMRO,REPORTING,30/8/21,1979652,773002.0,5.085,1.986,441371.0,1.134,22/2/21,4.0,BBIBP-CorV,Janssen,Pfizer,AstraZeneca,,,,,,Beijing CNBG - BBIBP-CorV:Janssen - Ad26.COV 2.5:Pfizer BioNTech - Comirnaty:SII - Covishield
1,1,Albania,ALB,EURO,OWID,30/8/21,1458048,824170.0,50.665,28.639,633878.0,22.026,,4.0,AstraZeneca, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V,,,,,,AstraZeneca - AZD1222: Pfizer BioNTech - Comirnaty: Sinovac - CoronaVac: Gamaleya - Sputnik V
2,2,Algeria,DZA,AFRO,REPORTING,23/8/21,4146091,3421279.0,9.455,7.802,724812.0,1.653,30/1/21,3.0,BBIBP-CorV,Sputnik V,AstraZeneca,,,,,,,Beijing CNBG - BBIBP-CorV:Gamaleya - Sputnik V:SII - Covishield
3,3,American Samoa,ASM,WPRO,REPORTING,20/8/21,54425,29993.0,98.601,54.338,24977.0,45.251,21/12/20,3.0,Janssen,Moderna,Pfizer,,,,,,,Janssen - Ad26.COV 2.5:Moderna - mRNA-1273:Pfizer BioNTech - Comirnaty
4,4,Andorra,AND,EURO,OWID,15/8/21,91660,51044.0,118.631,66.064,40616.0,52.567,,2.0,AstraZeneca, Pfizer BioNTech - Comirnaty,,,,,,,,AstraZeneca - AZD1222: Pfizer BioNTech - Comirnaty
5,5,Angola,AGO,AFRO,REPORTING,1/9/21,2086325,1165755.0,6.348,3.547,920570.0,2.801,10/3/21,1.0,AstraZeneca,,,,,,,,,SII - Covishield
6,6,Anguilla,AIA,AMRO,REPORTING,27/8/21,18458,9493.0,123.037,63.278,8965.0,59.759,5/2/21,1.0,AstraZeneca,,,,,,,,,AstraZeneca - Vaxzevria
7,7,Antigua and Barbuda,ATG,AMRO,REPORTING,27/8/21,72902,39808.0,74.444,40.65,33094.0,33.794,19/2/21,5.0,AstraZeneca,BBIBP-CorV,Sputnik V,Pfizer,AstraZeneca,,,,,AstraZeneca - Vaxzevria:Beijing CNBG - BBIBP-CorV:Gamaleya - Sputnik V:Pfizer BioNTech - Comirnaty:SII - Covishield
8,8,Argentina,ARG,AMRO,REPORTING,27/8/21,40961189,27606176.0,90.631,61.081,13355013.0,29.549,29/12/20,5.0,AstraZeneca,BBIBP-CorV,Sputnik V,Moderna,AstraZeneca,,,,,AstraZeneca - Vaxzevria:Beijing CNBG - BBIBP-CorV:Gamaleya - Sputnik V:Moderna - mRNA-1273:SII - Covishield
9,9,Armenia,ARM,EURO,OWID,29/8/21,275138,176552.0,9.285,5.958,98586.0,3.327,,3.0,AstraZeneca, Sinovac - CoronaVac, Gamaleya - Sputnik V,,,,,,,AstraZeneca - AZD1222: Sinovac - CoronaVac: Gamaleya - Sputnik V
10,10,Aruba,ABW,AMRO,REPORTING,27/8/21,147211,78245.0,137.882,73.286,68966.0,64.595,17/2/21,2.0,Janssen,Pfizer,,,,,,,,Janssen - Ad26.COV 2.5:Pfizer BioNTech - Comirnaty
11,11,Australia,AUS,WPRO,REPORTING,30/8/21,19362666,12106618.0,75.932,47.477,7222529.0,28.324,21/2/21,3.0,AstraZeneca,Novavax - Covavax,Pfizer,,,,,,,AstraZeneca - Vaxzevria:Novavax - Covavax:Pfizer BioNTech - Comirnaty
12,12,Austria,AUT,EURO,OWID,31/8/21,10456753,5506238.0,117.478,61.86,5206024.0,58.488,,4.0,Janssen, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,Janssen - Ad26.COV 2.5: Moderna - mRNA-1273: AstraZeneca - AZD1222: Pfizer BioNTech - Comirnaty
13,13,Azerbaijan,AZE,EURO,OWID,31/8/21,6805740,4113716.0,67.123,40.572,2692024.0,26.551,,3.0,AstraZeneca, Sinovac - CoronaVac, Gamaleya - Sputnik V,,,,,,,AstraZeneca - AZD1222: Sinovac - CoronaVac: Gamaleya - Sputnik V
14,14,Bahamas,BHS,AMRO,REPORTING,27/8/21,129017,76174.0,32.808,19.371,52843.0,13.438,14/3/21,3.0,AstraZeneca,Pfizer,AstraZeneca,,,,,,,AstraZeneca - Vaxzevria:Pfizer BioNTech - Comirnaty:SII - Covishield
15,15,Bahrain,BHR,EMRO,REPORTING,31/8/21,2489109,1146939.0,146.283,67.405,1088446.0,63.967,4/11/20,7.0,AstraZeneca,BBIBP-CorV,Sputnik V,Janssen,Moderna,Pfizer,AstraZeneca,,,AstraZeneca - Vaxzevria:Beijing CNBG - BBIBP-CorV:Gamaleya - Sputnik V:Janssen - Ad26.COV 2.5:Moderna - mRNA-1273:Pfizer BioNTech - Comirnaty:SII - Covishield
16,16,Bangladesh,BGD,SEARO,REPORTING,31/8/21,26535211,18489742.0,16.112,11.227,8045469.0,4.885,27/1/21,8.0,AstraZeneca,BBIBP-CorV,Sputnik V,Janssen,Moderna,Pfizer,AstraZeneca,Sinovac - CoronaVac,,AstraZeneca - Vaxzevria:Beijing CNBG - BBIBP-CorV:Gamaleya - Sputnik V:Janssen - Ad26.COV 2.5:Moderna - mRNA-1273:Pfizer BioNTech - Comirnaty:SII - Covishield:Sinovac - CoronaVac
