Entity,Code,Day,80+_start,18-24_start,50-59_start,70-79_start,25-49_start,60-69_start
Austria,AUT,8/1/21,1.23,0.12,0.54,0.27,0.38,0.32
Austria,AUT,15/1/21,6.05,0.44,1.81,1.29,1.18,1.3
Austria,AUT,22/1/21,11.75,0.87,3.15,2.15,2.16,2.11
Austria,AUT,29/1/21,14.12,1.03,3.54,2.36,2.47,2.38
Austria,AUT,5/2/21,14.92,1.15,3.85,2.51,2.68,2.57
Austria,AUT,12/2/21,15.85,1.52,4.31,2.72,3.04,2.84
Austria,AUT,19/2/21,20.16,2,5.15,3.04,3.71,3.34
Austria,AUT,26/2/21,27.79,2.95,6.45,3.53,4.8,4.2
Austria,AUT,5/3/21,43.84,3.73,7.91,4.58,5.87,5.33
Austria,AUT,12/3/21,57.46,5.12,10.42,8.15,7.92,8.12
Austria,AUT,19/3/21,66.82,5.82,12.4,13.82,9.26,10.99
Austria,AUT,26/3/21,71.86,6.46,14.22,19.01,10.47,13.38
Austria,AUT,2/4/21,78.38,6.82,15.24,26.95,11.04,15.03
Austria,AUT,9/4/21,84.13,7.15,16.35,40.46,11.61,19.76
Austria,AUT,16/4/21,88.19,7.64,18.54,54.54,12.71,27.71
Austria,AUT,23/4/21,90.15,8.52,22.29,63.78,14.44,37.48
Austria,AUT,30/4/21,91.41,9.72,27.07,67.98,16.34,48.95
Austria,AUT,7/5/21,92.9,11.69,34.17,71.54,19.54,57.69
Austria,AUT,14/5/21,93.88,13.99,42.09,73.51,23.02,64.11
Austria,AUT,21/5/21,94.97,16.8,49.2,75.49,28.04,70.7
Austria,AUT,28/5/21,95.61,19.59,53.64,76.51,32.27,73.87
Austria,AUT,4/6/21,96.23,23.93,58.75,77.45,37.76,76.34
Austria,AUT,11/6/21,96.75,29.3,63.55,78.18,42.92,77.83
Austria,AUT,18/6/21,97.31,34.03,66.43,78.92,47.55,79.19
Austria,AUT,25/6/21,97.72,38.42,67.94,79.46,51.5,80.11
Austria,AUT,2/7/21,98.16,43.14,69.41,80.04,54.85,81.04
Austria,AUT,9/7/21,98.51,48.03,70.53,80.5,57.16,81.84
Austria,AUT,16/7/21,98.87,50.44,71.49,80.96,58.58,82.56
Austria,AUT,23/7/21,99.22,52.46,72.36,81.39,59.89,83.21
Austria,AUT,30/7/21,99.48,53.64,72.87,81.67,60.64,83.64
Austria,AUT,6/8/21,99.73,54.74,73.41,81.97,61.37,84.07
Austria,AUT,13/8/21,99.91,55.44,73.78,82.17,61.86,84.36
Austria,AUT,20/8/21,100.13,56.26,74.21,82.4,62.47,84.7
Austria,AUT,27/8/21,100.36,57.14,74.65,82.64,63.09,85.04
Austria,AUT,31/8/21,100.48,57.7,74.91,82.77,63.48,85.23
Belgium,BEL,8/1/21,2.3,0.04,0.16,0.37,0.11,0.17
Belgium,BEL,15/1/21,10.5,0.24,0.75,1.57,0.52,0.71
Belgium,BEL,22/1/21,15.14,0.99,2.04,2.6,1.63,1.62
Belgium,BEL,29/1/21,16.4,1.53,2.88,3.03,2.37,2.16
Belgium,BEL,5/2/21,17.03,1.82,3.48,3.26,2.91,2.54
Belgium,BEL,12/2/21,17.35,2.01,4,3.4,3.31,2.84
Belgium,BEL,19/2/21,17.49,2.46,4.72,3.54,4,3.18
Belgium,BEL,26/2/21,17.62,3.17,6.13,3.7,5.36,3.65
Belgium,BEL,5/3/21,18.73,4.38,8.11,4.35,7.26,4.6
Belgium,BEL,12/3/21,20.77,5.48,9.8,6.02,8.82,6.28
Belgium,BEL,19/3/21,33.94,6.46,11.26,11.29,9.82,8.62
Belgium,BEL,26/3/21,51.58,7,12.16,18.52,10.47,10.45
Belgium,BEL,2/4/21,73.67,7.37,12.86,26.46,10.98,12.42
Belgium,BEL,9/4/21,80.74,7.71,13.69,52.42,11.42,17.4
Belgium,BEL,16/4/21,83.16,8.18,15.27,77.75,11.83,25.21
Belgium,BEL,23/4/21,84.32,8.73,18.95,88.19,12.44,40.56
Belgium,BEL,30/4/21,85.38,9.34,23.86,89.96,13.3,57.4
Belgium,BEL,7/5/21,86.63,9.98,32.76,91.42,15.63,75.18
Belgium,BEL,14/5/21,87.31,10.64,41.08,92.28,18.63,79.27
Belgium,BEL,21/5/21,87.97,11.3,56.55,92.92,22.81,82.11
Belgium,BEL,28/5/21,88.33,12.22,60.38,93.23,26.81,83.97
Belgium,BEL,4/6/21,88.78,14.32,71.57,93.66,32.86,89.03
Belgium,BEL,11/6/21,89.12,17.33,83.15,94,40.97,90.38
Belgium,BEL,18/6/21,89.39,24.24,85.66,94.28,56.3,90.93
Belgium,BEL,25/6/21,89.59,37.76,86.44,94.48,67.76,91.27
Belgium,BEL,2/7/21,89.74,51.66,86.91,94.64,74.08,91.51
Belgium,BEL,9/7/21,89.91,61.51,87.28,94.86,75.41,91.76
Belgium,BEL,16/7/21,90.15,67.57,87.72,95.14,76.45,92.08
Belgium,BEL,23/7/21,90.32,69.6,88.09,95.33,77.1,92.33
Belgium,BEL,30/7/21,90.45,70.85,88.41,95.48,77.7,92.55
Belgium,BEL,6/8/21,90.55,72.03,88.73,95.62,78.34,92.76
Belgium,BEL,13/8/21,90.65,72.95,89,95.73,78.91,92.91
Belgium,BEL,20/8/21,90.7,73.72,89.18,95.81,79.39,93.01
Belgium,BEL,27/8/21,90.76,74.48,89.33,95.87,79.86,93.09
Belgium,BEL,31/8/21,90.77,74.83,89.39,95.89,80.04,93.12
Bulgaria,BGR,8/1/21,0.04,0.04,0.46,0.12,0.18,0.39
Bulgaria,BGR,15/1/21,0.06,0.05,0.62,0.17,0.24,0.53
Bulgaria,BGR,22/1/21,0.07,0.06,0.72,0.2,0.29,0.63
Bulgaria,BGR,29/1/21,0.12,0.07,0.91,0.29,0.37,0.82
Bulgaria,BGR,5/2/21,0.31,0.1,1.29,0.42,0.51,1.13
Bulgaria,BGR,12/2/21,0.41,0.13,1.8,0.52,0.75,1.47
Bulgaria,BGR,19/2/21,0.71,0.32,2.88,0.95,1.37,2.29
Bulgaria,BGR,26/2/21,2.07,0.71,4.57,3.4,2.28,4.52
Bulgaria,BGR,5/3/21,3.29,0.96,5.73,5.64,2.86,6.38
Bulgaria,BGR,12/3/21,4.14,1.15,6.5,7.04,3.28,7.53
Bulgaria,BGR,19/3/21,4.31,1.26,6.92,7.31,3.56,7.9
Bulgaria,BGR,26/3/21,5.08,1.58,7.93,8.6,4.25,9.11
Bulgaria,BGR,2/4/21,5.99,1.94,9,10,5,10.38
Bulgaria,BGR,9/4/21,7.24,2.23,9.94,11.91,5.6,11.9
Bulgaria,BGR,16/4/21,8.3,2.48,10.8,13.56,6.16,13.25
Bulgaria,BGR,23/4/21,9.21,2.76,11.67,15.02,6.78,14.49
Bulgaria,BGR,30/4/21,10.07,3.14,12.56,16.33,7.43,15.68
Bulgaria,BGR,7/5/21,10.62,3.58,13.23,17.22,7.98,16.53
Bulgaria,BGR,14/5/21,11.7,4.04,14.19,18.85,8.69,17.87
Bulgaria,BGR,21/5/21,12.92,4.48,15.14,20.64,9.37,19.31
Bulgaria,BGR,28/5/21,13.82,4.82,15.83,21.89,9.86,20.35
Bulgaria,BGR,4/6/21,14.6,5.21,16.5,22.99,10.37,21.25
Bulgaria,BGR,11/6/21,15.33,5.62,17.16,24.01,10.88,22.12
Bulgaria,BGR,18/6/21,15.88,6.02,17.78,24.8,11.35,22.84
Bulgaria,BGR,25/6/21,16.37,6.35,18.34,25.53,11.75,23.5
Bulgaria,BGR,2/7/21,16.79,6.7,18.88,26.17,12.17,24.13
Bulgaria,BGR,9/7/21,17.26,7.15,19.54,26.88,12.66,24.84
Bulgaria,BGR,16/7/21,17.67,7.59,20.2,27.52,13.21,25.49
Bulgaria,BGR,23/7/21,18.05,8.05,20.86,28.11,13.75,26.09
Bulgaria,BGR,30/7/21,18.46,8.55,21.58,28.74,14.37,26.77
Bulgaria,BGR,6/8/21,18.88,9.09,22.34,29.4,15.02,27.5
Bulgaria,BGR,13/8/21,19.28,9.6,23.08,30.02,15.68,28.16
Bulgaria,BGR,20/8/21,19.67,10.17,23.81,30.61,16.38,28.81
Bulgaria,BGR,27/8/21,20.07,10.9,24.6,31.2,17.17,29.48
Croatia,HRV,1/1/21,0.39,0,0.04,0.09,0.03,0.03
Croatia,HRV,8/1/21,3.25,0.17,1.06,0.97,0.73,0.73
Croatia,HRV,15/1/21,4.27,0.28,1.81,1.52,1.2,1.26
Croatia,HRV,22/1/21,5.06,0.35,2.29,1.96,1.5,1.67
Croatia,HRV,29/1/21,5.18,0.36,2.35,2.03,1.54,1.72
Croatia,HRV,5/2/21,5.33,0.38,2.43,2.15,1.58,1.81
Croatia,HRV,12/2/21,6.38,0.43,2.8,3.05,1.78,2.38
Croatia,HRV,19/2/21,11.34,0.56,3.54,5.41,2.16,3.51
Croatia,HRV,26/2/21,21.52,0.66,4.24,10.49,2.5,5.26
Croatia,HRV,5/3/21,27.67,0.73,4.86,16.32,2.75,7.13
Croatia,HRV,12/3/21,31.88,0.94,5.57,22.24,3.04,9.37
Croatia,HRV,19/3/21,34.52,1.04,6.43,28.06,3.36,12.13
Croatia,HRV,26/3/21,36.79,1.17,7.39,33.4,3.72,15.22
Croatia,HRV,2/4/21,38.88,1.34,8.43,38.49,4.09,18.7
Croatia,HRV,9/4/21,40.27,1.46,9.87,42.34,4.57,22.59
Croatia,HRV,16/4/21,42.01,1.75,12.21,46.54,5.49,28.04
Croatia,HRV,23/4/21,43.8,2.32,14.39,50.73,6.43,32.53
Croatia,HRV,30/4/21,45.42,2.76,17.66,54.14,8.06,37.09
