Entity,Code,Day,Pfizer,Moderna,AstraZeneca,Janssen,Sputnik V,Sinovac,Sinopharm,CanSino
Austria,AUT,8/1/21,31150,0,0,0,0,0,0,0
Austria,AUT,15/1/21,116002,91,0,0,0,0,0,0
Austria,AUT,22/1/21,213366,307,0,0,0,0,0,0
Austria,AUT,29/1/21,258113,4242,0,0,0,0,0,0
Austria,AUT,5/2/21,353723,5934,1,0,0,0,0,0
Austria,AUT,12/2/21,455313,10014,10787,0,0,0,0,0
Austria,AUT,19/2/21,521018,14138,43563,0,0,0,0,0
Austria,AUT,26/2/21,582201,22507,101376,0,0,0,0,0
Austria,AUT,5/3/21,686640,31808,156246,0,0,0,0,0
Austria,AUT,12/3/21,849447,47157,234961,0,0,0,0,0
Austria,AUT,19/3/21,982020,78941,308242,15,0,0,0,0
Austria,AUT,26/3/21,1128194,104324,383630,28,0,0,0,0
Austria,AUT,2/4/21,1276224,140674,422184,49,0,0,0,0
Austria,AUT,9/4/21,1497302,180201,512608,91,0,0,0,0
Austria,AUT,16/4/21,1730978,222720,608528,99,0,0,0,0
Austria,AUT,23/4/21,1994413,260043,657489,104,0,0,0,0
Austria,AUT,30/4/21,2267767,298996,699964,367,0,0,0,0
Austria,AUT,7/5/21,2597982,348263,763006,6497,0,0,0,0
Austria,AUT,14/5/21,2897269,398123,827209,13493,0,0,0,0
Austria,AUT,21/5/21,3274722,466049,905020,25745,0,0,0,0
Austria,AUT,28/5/21,3609619,519597,987950,37899,0,0,0,0
Austria,AUT,4/6/21,4034561,574921,1056604,58081,0,0,0,0
Austria,AUT,11/6/21,4472653,637809,1151968,79715,0,0,0,0
Austria,AUT,18/6/21,4926947,687408,1204392,94640,0,0,0,0
Austria,AUT,25/6/21,5371288,743101,1278330,103168,0,0,0,0
Austria,AUT,2/7/21,5761753,803071,1386169,128510,0,0,0,0
Austria,AUT,9/7/21,6088094,853342,1453988,152474,0,0,0,0
Austria,AUT,16/7/21,6359309,897751,1505659,171642,0,0,0,0
Austria,AUT,23/7/21,6606381,944132,1535434,188031,0,0,0,0
Austria,AUT,30/7/21,6815101,962892,1561969,199981,0,0,0,0
Austria,AUT,6/8/21,6990630,980611,1577440,214971,0,0,0,0
Austria,AUT,13/8/21,7113777,989937,1583318,225073,0,0,0,0
Austria,AUT,20/8/21,7205119,1003729,1586563,238261,0,0,0,0
Austria,AUT,27/8/21,7261484,1007300,1588754,251691,0,0,0,0
Austria,AUT,3/9/21,7308785,1011908,1591023,264395,0,0,0,0
Austria,AUT,7/9/21,7312693,1012232,1591215,265194,0,0,0,0
Belgium,BEL,8/1/21,27972,0,0,0,0,0,0,0
Belgium,BEL,15/1/21,126722,34,0,0,0,0,0,0
Belgium,BEL,22/1/21,244379,4492,0,0,0,0,0,0
Belgium,BEL,29/1/21,333939,6180,0,0,0,0,0,0
Belgium,BEL,5/2/21,462829,15910,0,0,0,0,0,0
Belgium,BEL,12/2/21,598202,25471,344,0,0,0,0,0
Belgium,BEL,19/2/21,698709,30256,10703,0,0,0,0,0
Belgium,BEL,26/2/21,787181,32712,45193,0,0,0,0,0
Belgium,BEL,5/3/21,876053,51502,109873,0,0,0,0,0
Belgium,BEL,12/3/21,972314,67378,190895,0,0,0,0,0
Belgium,BEL,19/3/21,1082555,89809,350561,0,0,0,0,0
Belgium,BEL,26/3/21,1278936,100104,461127,0,0,0,0,0
Belgium,BEL,2/4/21,1537373,127862,521035,0,0,0,0,0
Belgium,BEL,9/4/21,1855254,175032,600674,0,0,0,0,0
Belgium,BEL,16/4/21,2132412,209583,781493,0,0,0,0,0
